	'prog'	'id'	';'	'inicio'	'fim'	'vetor'	'['	']'	'de'	'='	'('	')'	','	'..'	'var'	':'	'tipo'	':='	'registro'	'value'	'rotulo'	'const'	'proc'	'func'	'ref'	'pare'	'continue'	'pule'	'escreva'	'leia'	'retorne'	'para'	'faca'	'enquanto'	'repita'	'ate'	'se'	'entao'	'senao'	'caso'	'seja'	'and'	'or'	'=='	'!='	'>'	'<'	'>='	'<='	'~'	'+'	'-'	'*'	'/'	'inteiro'	'real'	'logico'	'texto'	'literalint'	'literalreal'	'literallogico'	'literaltexto'	'.'	ε
T215		T263 T264, 114									T263 T264, 114																																							'~' T263 T264, 115	T263 T264, 114	T263 T264, 114							T263 T264, 114	T263 T264, 114	T263 T264, 114	T263 T264, 114		
T216		T265 T266, 100									T265 T266, 100																																							T265 T266, 100	T265 T266, 100	T265 T266, 100							T265 T266, 100	T265 T266, 100	T265 T266, 100	T265 T266, 100		
T217		T272 T273, 53		T270, 50																						'pare', 46	'continue', 52	T274, 54	T267, 47	T268, 48	T271, 51	T269, 49		T269, 49	T269, 49		T275, 55			T275, 55																								
T218			ε, 87																																	ε, 87			'senao' T94, 86																									
T219					'fim', 89																																		'senao' T10 'fim', 90																									
T220		T276 T277, 124									'(' T93 ')', 126																																								T155 T278, 125	T155 T278, 125							T276 T277, 124	T276 T277, 124	T276 T277, 124	T276 T277, 124		
T221			ε, 123		ε, 123																																					ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T220 T221, 121	'/' T220 T221, 122										
T222		T279 T280, 114									T279 T280, 114																																							'~' T279 T280, 115	T279 T280, 114	T279 T280, 114							T279 T280, 114	T279 T280, 114	T279 T280, 114	T279 T280, 114		
T223		T281 T282, 116									T281 T282, 116																																								T281 T282, 116	T281 T282, 116							T281 T282, 116	T281 T282, 116	T281 T282, 116	T281 T282, 116		
T224			ε, 113		ε, 113																																							ε, 113	ε, 113	'>' T183, 109	'<' T183, 110	'>=' T183, 111	'<=' T183, 112															
T225		T283 T284, 114									T283 T284, 114																																							'~' T283 T284, 115	T283 T284, 114	T283 T284, 114							T283 T284, 114	T283 T284, 114	T283 T284, 114	T283 T284, 114		
T226			T285, 101		T285, 101																																		T285, 101			T285, 101	T285, 101	T286, 102	T286, 102																			
			T286, 102		T286, 102																																		T286, 102																									
T227																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T228		'id' T287, 147																																																														
T229																																'para' '(' T71 ')' 'faca' T149, 69																																
T230																																		'enquanto' '(' T72 ')' 'faca' T149, 81																														
T231																																			'repita' T73 'ate' T232, 82																													
T232		T288, 99									T288, 99																																							T288, 99	T288, 99	T288, 99							T288, 99	T288, 99	T288, 99	T288, 99		
T233			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150					ε, 151		ε, 151																					ε, 151																								'.' T194, 149	
T234																																					'se' '(' T72 ')' 'entao' T76 T289, 85																											
T235																																								'caso' '(' T72 ')' 'seja' T78 T290, 88																								
T236			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																												ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T199, 149	
T237																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T238		'id' T291, 147																																																														
T239		T292 T293, 124									'(' T93 ')', 126																																								T155 T294, 125	T155 T294, 125							T292 T293, 124	T292 T293, 124	T292 T293, 124	T292 T293, 124		
T240			ε, 123																																							ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T239 T240, 121	'/' T239 T240, 122										
T241		T296, 146																																																									T295, 145	T295, 145	T295, 145	T295, 145		
T242			ε, 128											'..' T297, 127																														ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T243		T297, 132									'(' T93 ')', 131																																																T297, 132	T297, 132	T297, 132	T297, 132		
T244		T298 T299, 124									'(' T93 ')', 126																																								T155 T300, 125	T155 T300, 125							T298 T299, 124	T298 T299, 124	T298 T299, 124	T298 T299, 124		
T245													ε, 123																													ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T244 T245, 121	'/' T244 T245, 122										
T246		T301 T302, 114									T301 T302, 114																																							'~' T301 T302, 115	T301 T302, 114	T301 T302, 114							T301 T302, 114	T301 T302, 114	T301 T302, 114	T301 T302, 114		
T247		T303 T304, 116									T303 T304, 116																																								T303 T304, 116	T303 T304, 116							T303 T304, 116	T303 T304, 116	T303 T304, 116	T303 T304, 116		
T248													ε, 113																															ε, 113	ε, 113	'>' T208, 109	'<' T208, 110	'>=' T208, 111	'<=' T208, 112															
T249		T305 T306, 114									T305 T306, 114																																							'~' T305 T306, 115	T305 T306, 114	T305 T306, 114							T305 T306, 114	T305 T306, 114	T305 T306, 114	T305 T306, 114		
